Feature ID	Taxon	Confidence
4a413f527b8f7daf35a2b7342f8c1100	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Group_1.1c;f__;g__;s__	0.9999998856913445
12463cb83957470e0908fb953eb0cdfe	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999947131073
330edc176965e87d2518ddfac1a942a0	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Group_1.1c;f__;g__;s__	0.9999999826887348
8cac32d19b1ab9d21528178b5599907b	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999999924114
f10511bb1d524d00ba68b6d50387e025	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Group_1.1c;f__;g__;s__	0.9999999970941644
767b11f5fcea08eb0c3509ed61e44746	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999966325463416
a11dc8382257a27eb577c27ed0e785f0	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999999504325
4b2de7b83c2cf12b85e5a6efa1d630b7	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999911724147638
8caff323434068ca975dcdc64f39bafe	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__Aquisphaera;s__	0.9998223527633593
511235acb422e4671418146c4dc5533d	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Group_1.1c;f__;g__;s__	0.9999999754823964
eb6556a76f5c1a57c391fcbd13dd1bc6	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__uncultured;g__;s__	0.9999746380585174
0c20c3cf83b3fd078683f8a22eafa609	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999997630198
8d5c2aa786c12fe8b34df2d2cf8fd677	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999999945857
aa80319b5b22bc71c58d176103e6c5b7	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__uncultured;s__	0.9999634609251578
d72b6dbd46a43df4588d218c3bf832e7	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999999996874
b9b2009932b2cd5c56a405d73ff9125b	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999993067803
61053fedf0f4c592482c7884df87a561	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999997021121
4625166cc0c8a7f54fa183ff35fe60d7	d__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__	0.9992468926587686
5a254ec942ac9c2f7eae78f185eaaf1a	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999999031957
9efd9e407ae2578c30d9a7c520603c10	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999997641851
3e222e5dc6264f8204a3cb194f0c4203	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__Methylomirabilaceae;g__Sh765B-TzT-35;s__	0.999999999898975
9a80ebf0d4b5b6e0212f1c7584c4a6e0	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999999406413
f2d74c265e3ce04661d478d9f6784132	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF3;f__;g__;s__	0.9994618561828736
56936b181d7c11e500dfcabad63feb13	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Group_1.1c;f__;g__;s__	0.9999999875923039
f4f518d67641ff90f69e0e4d37b0a8a0	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Group_1.1c;f__;g__;s__	0.99999976237288
0bdbe87e5b628f70790db51cd63b02d4	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999994295194
90aca794c7e30b8a77e87f13ffc9a5cc	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae	0.9995580281432401
2777063f0e1b426c87fe1a68bb91d64d	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.921092504808919
a4ff65e30eb7ee4d7b11c6caaac4acf6	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999999227498
95a04d833dec4f629eb3f534274b0d23	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__;f__Hadarchaeales;g__;s__	0.99999999995525
c177eaeaf125aeee35ad742f5a04fa41	d__Bacteria;p__Sva0485;c__;o__;f__;g__;s__	0.9999815583829149
93634f24f478ac390c012be34cfad993	d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__;f__;g__;s__	0.9746357101749591
5b2b2f5e99662987202eb0452f2f8674	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__	0.9999991495007869
ae0a4e3e01d411959222845590088204	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__RBG-16-58-14;s__	0.9999993063022136
