sample-id	Location	Site layer	Site_layer	Site	Phasic_community	Type	Depth_group_new	Depth_cm	Depth_group_cm	Depth_layer	pH	Na	K	Sulfate	Nitrate	Phosphate	Remove
SRR5311975	Panama-North	Mixed forest 0-4cm		3	Mixed forest	Freshwater	0-4cm		0-4cm		3.9						
SRR5311976	Panama-North	Raphia 0-4cm		2	Raphia	Freshwater	0-4cm		0-4cm		3.8						
SRR5311977	Panama-North	Raphia 0-4cm		2	Raphia	Freshwater	0-4cm		0-4cm		3.8						
SRR5311978	Panama-North	Raphia 0-4cm		2	Raphia	Freshwater	0-4cm		0-4cm		3.8						
SRR5311979	Panama-North	Raphia 0-4cm		1	Raphia	Freshwater	0-4cm		0-4cm		3.6						
SRR5311980	Panama-North	Raphia 0-4cm		1	Raphia	Freshwater	0-4cm		0-4cm		3.6						
SRR5311981	Panama-North	Raphia 0-4cm		1	Raphia	Freshwater	0-4cm		0-4cm		3.6						
SRR5311982	Panama-North	Bog 4-8cm		9	Bog	Freshwater	4-8cm		4-8cm		3.6						
SRR5311983	Panama-North	Bog 4-8cm		9	Bog	Freshwater	4-8cm		4-8cm		3.6						
SRR5311984	Panama-North	Bog 4-8cm		9	Bog	Freshwater	4-8cm		4-8cm		3.6						
SRR5311985	Panama-North	Bog 16-30cm		9	Bog	Freshwater	16-30cm		24-30cm		3.6						
SRR5311986	Panama-North	Bog 4-8cm		9	Bog	Freshwater	4-8cm		4-8cm		3.6						
SRR5311987	Panama-North	Bog 16-30cm		9	Bog	Freshwater	16-30cm		24-30cm		3.6						
SRR5311988	Panama-North	Campnosperma 4-8cm		8	Campnosperma	Freshwater	4-8cm		4-8cm		3.8						
SRR5311989	Panama-North	Campnosperma 4-8cm		8	Campnosperma	Freshwater	4-8cm		4-8cm		3.8						
SRR5311990	Panama-North	Campnosperma 4-8cm		8	Campnosperma	Freshwater	4-8cm		4-8cm		3.8						
SRR5311991	Panama-North	Campnosperma 16-30cm		8	Campnosperma	Freshwater	16-30cm		24-30cm		3.8						
SRR5311992	Panama-North	Campnosperma 4-8cm		8	Campnosperma	Freshwater	4-8cm		4-8cm		3.8						
SRR5311993	Panama-North	Campnosperma 16-30cm		8	Campnosperma	Freshwater	16-30cm		24-30cm		3.8						
SRR5311994	Panama-North	Campnosperma 4-8cm		7	Campnosperma	Freshwater	4-8cm		4-8cm		3.7						
SRR5311995	Panama-North	Campnosperma 4-8cm		7	Campnosperma	Freshwater	4-8cm		4-8cm		3.7						
SRR5311996	Panama-North	Campnosperma 4-8cm		7	Campnosperma	Freshwater	4-8cm		4-8cm		3.7						
SRR5311997	Panama-North	Campnosperma 16-30cm		7	Campnosperma	Freshwater	16-30cm		24-30cm		3.7						
SRR5311998	Panama-North	Campnosperma 16-30cm		7	Campnosperma	Freshwater	16-30cm		24-30cm		3.7						
SRR5311999	Panama-North	Campnosperma 4-8cm		6	Campnosperma	Freshwater	4-8cm		4-8cm		3.6						
SRR5312000	Panama-North	Campnosperma 4-8cm		6	Campnosperma	Freshwater	4-8cm		4-8cm		3.6						
SRR5312001	Panama-North	Campnosperma 4-8cm		6	Campnosperma	Freshwater	4-8cm		4-8cm		3.6						
SRR5312002	Panama-North	Campnosperma 16-30cm		6	Campnosperma	Freshwater	16-30cm		24-30cm		3.6						
SRR5312003	Panama-North	Campnosperma 4-8cm		6	Campnosperma	Freshwater	4-8cm		4-8cm		3.6						
SRR5312004	Panama-North	Campnosperma 16-30cm		6	Campnosperma	Freshwater	16-30cm		24-30cm		3.6						
SRR5312005	Panama-North	Mixed forest 4-8cm		5	Mixed forest	Freshwater	4-8cm		4-8cm		3.9						
SRR5312006	Panama-North	Mixed forest 4-8cm		5	Mixed forest	Freshwater	4-8cm		4-8cm		3.9						
SRR5312007	Panama-North	Mixed forest 4-8cm		5	Mixed forest	Freshwater	4-8cm		4-8cm		3.9						
SRR5312008	Panama-North	Mixed forest 16-30cm		5	Mixed forest	Freshwater	16-30cm		24-30cm		3.9						
SRR5312009	Panama-North	Mixed forest 4-8cm		5	Mixed forest	Freshwater	4-8cm		4-8cm		3.9						
SRR5312010	Panama-North	Mixed forest 16-30cm		5	Mixed forest	Freshwater	16-30cm		24-30cm		3.9						
SRR5312011	Panama-North	Mixed forest 4-8cm		4	Mixed forest	Freshwater	4-8cm		4-8cm		3.7						
SRR5312012	Panama-North	Mixed forest 4-8cm		4	Mixed forest	Freshwater	4-8cm		4-8cm		3.7						
SRR5312013	Panama-North	Mixed forest 4-8cm		4	Mixed forest	Freshwater	4-8cm		4-8cm		3.7						
SRR5312014	Panama-North	Mixed forest 16-30cm		4	Mixed forest	Freshwater	16-30cm		24-30cm		3.7						
SRR5312015	Panama-North	Mixed forest 4-8cm		4	Mixed forest	Freshwater	4-8cm		4-8cm		3.7						
